iter	Logloss
263	0.31475494
264	0.314507851
265	0.3142131042
266	0.3140334429
267	0.3138277035
268	0.3136253384
269	0.3133893201
270	0.3131364151
271	0.3129056138
272	0.3127360828
273	0.3125426954
274	0.3123247627
275	0.312105996
276	0.3120262719
277	0.3118527552
278	0.31170541
279	0.3115347867
280	0.3113727624
281	0.3110006154
282	0.310667607
283	0.3105646294
284	0.3103298756
285	0.3101731567
286	0.309988319
287	0.309713197
288	0.3095841825
289	0.3092661195
290	0.3090889189
291	0.3088901389
292	0.3086887179
293	0.3082937333
294	0.3081605924
295	0.3080831884
296	0.3078073851
297	0.3075471524
298	0.3074614466
299	0.3072439621
300	0.3068688942
301	0.306632057
302	0.3063750223
303	0.3059860707
304	0.3058923562
305	0.3057576674
306	0.305479176
307	0.3052370892
308	0.3050239738
309	0.3048272226
310	0.304638935
311	0.3044335895
312	0.3042478671
313	0.3040833466
314	0.3039123146
315	0.3036818289
316	0.3035035864
317	0.303337306
318	0.3030880969
319	0.3028878199
320	0.3027318863
321	0.3025874484
322	0.3024006833
323	0.3022329504
324	0.3020078035
325	0.3018259202
326	0.3016262529
327	0.3014461013
328	0.301398026
329	0.3012445535
330	0.3011157496
331	0.3008945204
332	0.3006404803
333	0.3005266272
334	0.3002674144
335	0.3000856272
336	0.2998954804
337	0.2996317346
338	0.2995140358
339	0.2993373225
340	0.2992538049
341	0.2990727283
342	0.2989950734
343	0.2987767459
344	0.2986440516
345	0.2983893771
346	0.2983195447
347	0.2982066905
348	0.2979942319
349	0.2978050408
350	0.2975729572
351	0.2974367873
352	0.2972768258
353	0.2971551428
354	0.2969376742
355	0.2967484353
356	0.2964545785
357	0.2963538068
358	0.2960687049
359	0.2959594578
360	0.2958085448
361	0.2957370754
362	0.2956594219
363	0.2954959143
364	0.2953391236
365	0.2950390663
366	0.2948385225
367	0.2947243129
368	0.2945740597
369	0.2944690597
370	0.2942395189
371	0.2940918965
372	0.2937113122
373	0.2935199145
374	0.2932142209
375	0.2929157811
376	0.2927551811
377	0.292502826
378	0.2923265957
379	0.2922049613
380	0.2919755122
381	0.291832073
382	0.2917596503
383	0.2915418501
384	0.2912375653
385	0.290969648
386	0.2907348071
387	0.2904501051
388	0.2901147414
389	0.2898076237
390	0.2897289778
391	0.289544592
392	0.2893353739
393	0.2892635944
394	0.2889825867
395	0.2889012024
396	0.2887507818
397	0.2885092376
398	0.2883962935
399	0.2882157614
400	0.288043324
401	0.287865635
402	0.2876560195
403	0.2875707609
404	0.2872305001
405	0.2871775823
406	0.2869291585
407	0.2867735804
408	0.2866234257
409	0.2865966168
410	0.2864814658
411	0.2863602686
412	0.2861180851
413	0.2859932461
414	0.2858503676
415	0.2856988419
416	0.2855576356
417	0.285371939
418	0.2851377708
419	0.2850567013
420	0.284842481
421	0.2847976216
422	0.2846140815
423	0.2843783901
424	0.2840530632
425	0.2838579763
426	0.2836961377
427	0.2834717121
428	0.2832075195
429	0.2831051833
430	0.2829480184
431	0.2826779955
432	0.2824607343
433	0.2821717196
434	0.2818889586
435	0.2815897049
436	0.281439522
437	0.2812879615
438	0.2811385534
439	0.2810572324
440	0.2808906728
441	0.2807511471
442	0.280674587
443	0.2804924953
444	0.2803456745
445	0.2800802763
446	0.2796632719
447	0.2795590708
448	0.2792799163
449	0.279075396
450	0.2787540592
451	0.2786186346
452	0.2783843969
453	0.2783320467
454	0.2782627326
455	0.2781329439
456	0.2780968408
457	0.2779349253
458	0.2777432841
459	0.2774950327
460	0.2773347939
461	0.2771177972
462	0.2769161369
463	0.2767535313
464	0.2765598208
465	0.2762782686
466	0.276064748
467	0.2759535441
468	0.2757301726
469	0.2753764322
470	0.2751665505
471	0.2749849675
472	0.2747575103
473	0.2747052701
474	0.2745079569
475	0.2744250324
476	0.2743413392
477	0.2741867978
478	0.2740253641
479	0.2737580167
480	0.2736562763
481	0.2733683816
482	0.273253709
483	0.2730427306
484	0.2727951576
485	0.2726250416
486	0.2723939278
487	0.2722744802
488	0.2720190825
489	0.2717931706
490	0.2716659626
491	0.2714708605
492	0.2713506672
493	0.2711303057
494	0.2708811055
495	0.2706666644
496	0.270435817
497	0.2703042408
498	0.2701086217
499	0.2698551179
500	0.2696547533
501	0.2694707
502	0.2692394216
503	0.2690504123
504	0.2687904148
505	0.2686317719
506	0.2684156245
507	0.2682574819
508	0.2681205818
509	0.2680621821
510	0.2679788283
511	0.2679064661
512	0.26774882
513	0.2676222828
514	0.2674859542
515	0.267296923
516	0.2670699472
517	0.2668655621
518	0.266703229
519	0.266532899
520	0.2664584848
521	0.2662587124
522	0.2660550881
523	0.2659997829
524	0.2658210149
525	0.2655714476
526	0.2654452778
527	0.2652828511
528	0.265094662
529	0.264973952
530	0.2647056668
531	0.264456661
532	0.2642638385
533	0.2640630901
534	0.2638171718
535	0.2636643713
536	0.2635238363
537	0.2634406275
538	0.2632369563
539	0.2630581437
540	0.2628562476
541	0.2627112447
542	0.2625328307
543	0.2623759696
544	0.262185513
545	0.2619997337
546	0.261832323
547	0.261512966
548	0.2612894384
549	0.2611150638
550	0.260930285
551	0.2606811115
552	0.260423996
553	0.2602685005
554	0.2600693198
555	0.2598657859
556	0.2596911744
557	0.2594320223
558	0.2591519084
559	0.2589139859
560	0.2586903593
561	0.2585455718
562	0.2582535159
563	0.2581512296
564	0.2580744119
565	0.2578272381
566	0.2576068398
567	0.2573119296
568	0.2571867433
569	0.2569827088
570	0.2567695976
571	0.2566661391
572	0.2564274646
573	0.2562516998
574	0.2561455833
575	0.2559539504
576	0.255890287
577	0.2557231018
578	0.2555387356
579	0.2553028426
580	0.2551901109
581	0.255056605
582	0.254835517
583	0.25464358
584	0.2544422525
585	0.2542714643
586	0.2540837613
587	0.2538479509
588	0.2534871425
589	0.2533878435
590	0.2531071093
591	0.2528291594
592	0.2526097719
593	0.2523716467
594	0.2522437468
595	0.2519815037
596	0.2516702569
597	0.2515970485
598	0.2514883812
599	0.251237374
600	0.2510497721
601	0.2508160701
602	0.2507234697
603	0.2504276306
604	0.2502015464
605	0.2500854344
606	0.2500014344
607	0.2498158121
608	0.2495815796
609	0.2494498528
610	0.2491230278
611	0.249028601
612	0.2488336924
613	0.2485699747
614	0.2484063305
615	0.2481348896
616	0.2479361351
617	0.2476137644
618	0.2472536709
619	0.2471753648
620	0.2470611593
621	0.2468487212
622	0.2467533901
623	0.2466610537
624	0.2464555612
625	0.2463821162
626	0.2463203218
627	0.246119573
628	0.2460168866
629	0.2457054189
630	0.2455386107
631	0.24531874
632	0.2451142671
633	0.2450547965
634	0.2447296941
635	0.2444806782
636	0.2443874384
637	0.2441403189
638	0.2440565029
639	0.2438489943
640	0.2436029678
641	0.243399211
642	0.2432343135
643	0.24302679
644	0.2427683712
645	0.2425399744
646	0.2424723906
647	0.2422933972
648	0.2420221562
649	0.2418489618
650	0.241614534
651	0.2414731816
652	0.2413178943
653	0.2411615998
654	0.2410191394
655	0.240915581
656	0.240716153
657	0.2405809195
658	0.240366222
659	0.2401761205
660	0.2401308666
661	0.239992862
662	0.239794909
663	0.2396236184
664	0.2393941007
665	0.2392226927
666	0.2391150542
667	0.238901909
668	0.2385671535
669	0.2383520224
670	0.2382295005
671	0.2382110679
672	0.2379982671
673	0.2378385621
674	0.2376561736
675	0.2374798462
676	0.2372375892
677	0.2371016468
678	0.2368634616
679	0.2365618273
680	0.2362852814
681	0.2361336905
682	0.2360991088
683	0.2360291476
684	0.2358627978
685	0.2357006873
686	0.2354078601
687	0.2352455122
688	0.2351427566
689	0.2348118102
690	0.2346994229
691	0.2346627139
692	0.2343897234
693	0.2341511028
694	0.2339642614
695	0.2336505984
696	0.2334349371
697	0.2333644117
698	0.2332174307
699	0.2330930564
700	0.232995229
701	0.2328483302
702	0.2327189621
703	0.2325629926
704	0.232520134
705	0.2323415953
706	0.2322334204
707	0.2321403254
708	0.2319180463
709	0.2317179078
710	0.2314870006
711	0.2313234584
712	0.2312636491
713	0.2310191091
714	0.2309741884
715	0.2307594745
716	0.2305934387
717	0.2305271959
718	0.2304537486
719	0.2302435308
720	0.2300832821
721	0.2298200765
722	0.2295153618
723	0.2293716542
724	0.2292112153
725	0.2289872992
726	0.2287283693
727	0.2285507473
728	0.2283197299
729	0.2281489262
730	0.2280149679
731	0.227859435
732	0.2277882143
733	0.2275606283
734	0.2273815196
735	0.2273501141
736	0.2271089391
737	0.2268884789
738	0.2266605067
739	0.2263377754
740	0.2261650276
741	0.2261401001
742	0.2258458364
743	0.2256982158
744	0.2255769595
745	0.2254034828
746	0.2251825229
747	0.2250074895
748	0.2248581283
749	0.2248444434
750	0.2246077674
751	0.2245063525
752	0.2242185578
753	0.2240977617
754	0.223848471
755	0.2237420613
756	0.223610952
757	0.2234224936
758	0.2232971105
759	0.2231545497
760	0.2230294775
761	0.222737805
762	0.2225044467
763	0.2222866268
764	0.2221389643
765	0.221981908
766	0.2217866265
767	0.2217712213
768	0.2215345307
769	0.2214164284
770	0.2213648007
771	0.2210957681
772	0.2208904445
773	0.2206634546
774	0.2204715241
775	0.2202638445
776	0.2201160751
777	0.2199324638
778	0.2197994417
779	0.2195266428
780	0.219266857
781	0.2192603341
782	0.2190437682
783	0.2188562777
784	0.2187860712
785	0.2186005638
786	0.2184094728
787	0.2183864403
788	0.2183331635
789	0.2182143138
790	0.2179953131
791	0.2177012754
792	0.217615271
793	0.217479299
794	0.2173552698
795	0.2171610303
796	0.2170360544
797	0.2169172761
798	0.2169049615
799	0.2168452697
800	0.2166015332
801	0.2163931752
802	0.2162958468
803	0.2161686307
804	0.2160934082
805	0.2158921561
806	0.215847431
807	0.2156400814
808	0.2155330384
809	0.2154971515
810	0.2152953053
811	0.215120666
812	0.2150492221
813	0.2149152289
814	0.2147265426
815	0.2146710727
816	0.214492929
817	0.214396871
818	0.2142089804
819	0.2141993233
820	0.2141640108
821	0.2140014809
822	0.2138994025
823	0.2137727492
824	0.2136565162
825	0.2134614094
826	0.2132690584
827	0.2131740061
828	0.2130438371
829	0.2129035044
830	0.2127051413
831	0.212577232
832	0.2124422475
833	0.2122012296
834	0.2120595526
835	0.2119648096
836	0.211797779
837	0.2116477655
838	0.2116390123
839	0.2114599104
840	0.2112551097
841	0.2109919474
842	0.2108048193
843	0.2107608788
844	0.210558828
845	0.210447153
846	0.2103165527
847	0.2101501239
848	0.209957874
849	0.2098021416
850	0.2095536024
851	0.2092916479
852	0.2091067342
853	0.2089654873
854	0.2088281731
855	0.2088024354
856	0.2087115798
857	0.2085228063
858	0.2083375723
859	0.208160042
860	0.2080113289
861	0.2078670577
862	0.207794872
863	0.2075636697
864	0.2074355504
865	0.2073759613
866	0.2071786533
867	0.206983664
868	0.2069671239
869	0.206635591
870	0.20645249
871	0.2062730503
872	0.2060581135
873	0.2059377226
874	0.2056501783
875	0.2054131529
876	0.2053315402
877	0.2051412738
878	0.2049766665
879	0.2048949222
880	0.2048046241
881	0.2047640192
882	0.2047594759
883	0.2045638315
884	0.2044614612
885	0.204220863
886	0.2040423996
887	0.2040054847
888	0.2038701737
889	0.2036591581
890	0.203541516
891	0.2033502105
892	0.2033078397
893	0.2031988126
894	0.2030068015
895	0.2029470926
896	0.2027709805
897	0.202501195
898	0.2023644597
899	0.2023267591
900	0.2022214373
901	0.202031308
902	0.2019178292
903	0.2017862905
904	0.2016072706
905	0.2015699215
906	0.2014653885
907	0.2013280971
908	0.2011624549
909	0.2011534099
910	0.2010309958
911	0.2007418082
912	0.2007027895
913	0.2005184635
914	0.2005135103
915	0.2003004778
916	0.2001669921
917	0.2001422755
918	0.1999668564
919	0.1997606308
920	0.1995814517
921	0.1995360928
922	0.1994884238
923	0.1993246021
924	0.1991636097
925	0.198983151
926	0.1989297988
927	0.1989240655
928	0.1987402757
929	0.1985298826
930	0.1985256401
931	0.1984098179
932	0.1981933778
933	0.1980423134
934	0.1980335188
935	0.197908904
936	0.1977017871
937	0.1975758622
938	0.1973930881
939	0.1972497325
940	0.1971203604
941	0.1970645261
942	0.1968070815
943	0.1966696345
944	0.1965046356
945	0.1963476282
946	0.196131955
947	0.1960828369
948	0.1959324873
949	0.1958901045
950	0.1957399049
951	0.1955707162
952	0.1954501202
953	0.195390681
954	0.195156328
955	0.1950304369
956	0.1948695622
957	0.1947861137
958	0.1946493808
959	0.1945168995
960	0.1943401177
961	0.1941624114
962	0.1940451056
963	0.1938407168
964	0.1937209055
965	0.1936784098
966	0.1935974847
967	0.1934259482
968	0.1932978596
969	0.1932294521
970	0.1930847136
971	0.1929869365
972	0.1928614811
973	0.1927099311
974	0.1927056259
975	0.1925796248
976	0.1923877853
977	0.1922740124
978	0.1920799958
979	0.1920099038
980	0.1918961145
981	0.1918314414
982	0.1916238237
983	0.1914752852
984	0.1913743086
985	0.191270635
986	0.1910468772
987	0.1910163477
988	0.1909348009
989	0.1907998138
990	0.1907596088
991	0.1906969362
992	0.1905772596
993	0.1904092651
994	0.1902618015
995	0.190036913
996	0.189944227
997	0.1897930597
998	0.1895143095
999	0.1894538565
